n,tempo_ms,desvio
10000,0.531432,0.739200
20000,0.728522,0.067023
30000,1.177835,0.829527
40000,1.528012,0.500569
50000,1.861999,0.598384
60000,2.110817,0.078148
70000,2.443082,0.053454
80000,2.788022,0.091317
90000,3.629313,3.061164
100000,4.284577,4.394014
