n,tempo_ms,desvio
10000,0.020660,0.014482
20000,0.031240,0.012894
30000,0.043000,0.018877
40000,0.065520,0.019951
50000,0.078800,0.029474
60000,0.082960,0.039699
70000,0.112020,0.042894
80000,0.104840,0.057026
90000,0.133780,0.066074
100000,0.153800,0.054688
