n,tempo_ms,desvio
10000,0.003480,0.000505
20000,0.006500,0.000505
30000,0.009980,0.001532
40000,0.012740,0.000633
50000,0.015940,0.000682
60000,0.019480,0.000995
70000,0.023240,0.002191
80000,0.025500,0.000789
90000,0.029680,0.001203
100000,0.032940,0.002226
