n,tempo_ms,desvio
10000,0.003057,0.000997
20000,0.004158,0.001821
30000,0.005879,0.000311
40000,0.007812,0.000410
50000,0.009466,0.000386
60000,0.011262,0.000404
70000,0.012843,0.000563
80000,0.014761,0.000554
90000,0.016672,0.000680
100000,0.018191,0.000484
