n,tempo_ms,desvio
10000,0,028102,0,058421
20000,0,004417,0,002164
30000,0,007879,0,005396
40000,0,008569,0,003324
50000,0,009746,0,000576
60000,0,011632,0,001730
70000,0,012867,0,000530
80000,0,014527,0,000695
90000,0,017062,0,001228
100000,0,019327,0,003178
